operation;value;success;time_ns;operations
delete;64013;true;3800;177
delete;82828;true;7600;433
delete;82190;true;3100;309
delete;38352;true;1900;71
delete;50658;true;10600;733
delete;86481;true;13800;1213
delete;57291;true;15000;1227
delete;60535;true;6200;515
delete;61108;true;12300;627
delete;99054;true;170400;3801
delete;22743;true;4200;177
delete;84575;true;9900;821
delete;93881;true;122200;2755
delete;71100;true;28100;1535
delete;90955;true;26500;2121
delete;74169;true;24600;2159
delete;50332;true;8700;657
delete;17647;true;446200;3571
delete;28239;true;4600;209
delete;83200;true;6700;523
delete;64750;true;178800;301
delete;30355;true;1000;14
delete;1564;true;6700;337
delete;77965;true;39400;3005
delete;94687;true;244400;2923
delete;38960;true;3200;105
delete;74164;true;29000;2157
delete;45116;true;7300;481
delete;78551;true;196300;3099
delete;24136;true;1400;37
delete;71481;true;14500;1605
delete;11971;true;701000;2483
delete;43042;true;3200;93
delete;50659;true;10900;735
delete;18887;true;45400;3809
delete;36687;true;1300;21
delete;46255;true;9700;719
delete;88087;true;19000;1555
delete;52331;true;3700;253
delete;68753;true;13300;1113
delete;58971;true;3700;205
delete;45851;true;7300;653
delete;86166;true;12300;1147
delete;46117;true;7500;699
delete;61604;true;9000;725
delete;42023;true;4800;339
delete;28350;true;4600;239
delete;62848;true;11000;985
delete;84579;true;9000;823
delete;11966;true;157500;2479
delete;77125;true;33700;2829
delete;50736;true;8800;745
delete;12776;true;30900;2641
delete;23551;true;1000;35
delete;90372;true;22900;2007
delete;58233;true;1200;65
delete;30321;true;1800;53
delete;92060;true;45600;2349
delete;29825;true;2900;45
delete;77571;true;37400;2927
delete;87211;true;89400;1365
delete;92997;true;27600;2555
delete;8016;true;20700;1675
delete;74853;true;26600;2359
delete;48043;true;2700;183
delete;97481;true;39600;3495
delete;37477;true;1800;49
delete;56255;true;13200;997
delete;49523;true;5800;487
delete;97037;true;36200;3407
delete;22608;true;2600;147
delete;9283;true;115000;1937
delete;66012;true;7600;555
delete;29934;true;1300;29
delete;62513;true;12000;911
delete;38028;true;1600;69
delete;18441;true;41500;3721
delete;94933;true;236200;2977
delete;53969;true;9000;577
delete;11107;true;29000;2279
delete;30749;true;1000;25
delete;80761;true;1100;21
delete;86291;true;14200;1173
delete;56415;true;11600;1027
delete;79653;true;154900;3293
delete;74680;true;25500;2309
delete;41632;true;200700;231
delete;23303;true;1700;41
delete;72676;true;25100;1885
delete;50977;true;11000;777
delete;74154;true;1021500;2153
delete;87650;true;26500;1465
delete;18206;true;2823600;3675
delete;92324;true;11955300;2413
delete;73034;true;63000;1939
delete;62756;true;26900;967
delete;41523;true;6300;209
delete;64285;true;3200;231
delete;82614;true;9500;385
delete;41679;true;3400;245
delete;8654;true;46900;1825
delete;78330;true;51000;3059
delete;83176;true;7900;511
delete;21433;true;76900;4337
delete;91531;true;87900;2237
delete;12515;true;193600;2599
delete;88034;true;28200;1539
delete;40224;true;3700;133
delete;40174;true;1800;125
delete;31161;true;1500;27
