operation;value;success;time_ns;operations
insert;76463;true;3600;276
insert;86481;true;1900;209
insert;54563;true;1500;95
insert;35889;true;230500;44
insert;97476;true;6800;320
insert;49278;true;2000;87
insert;93504;true;4500;287
insert;87153;true;2600;220
insert;56567;true;2400;110
insert;92389;true;4000;283
insert;4752;true;2600;187
insert;89187;true;3400;246
insert;97351;true;6100;331
insert;34965;true;2926300;43
insert;58796;true;2900;67
insert;29323;true;49400;51
insert;20606;true;117300;356
insert;63723;true;2400;135
insert;7482;true;2600;225
insert;60579;true;2900;92
insert;75607;true;5100;266
insert;76770;true;4400;289
insert;4511;true;2000;186
insert;57364;true;2600;121
insert;79177;true;5200;326
insert;93949;true;4477800;302
insert;49400;true;6100;92
insert;37294;true;31300;50
insert;48508;true;2000;71
insert;53948;true;2500;94
insert;64398;true;2700;151
insert;37388;true;11697900;51
insert;30875;true;718800;50
insert;94933;true;9300;311
insert;238;true;232500;147
insert;92662;true;5700;292
insert;92152;true;3600;287
insert;4710;true;14400;208
insert;32529;true;6400;39
insert;11025;true;11300;291
insert;21277;true;559800;390
insert;68393;true;4800;200
insert;60311;true;2800;93
insert;27859;true;1500;30
insert;65474;true;1900;167
insert;52973;true;2000;75
insert;67722;true;2300;194
insert;50075;true;3100;110
insert;9808;true;30000;279
insert;55092;true;2600;114
insert;17421;true;12500;366
insert;46416;true;2000;78
insert;71658;true;3500;237
insert;536;true;16000;157
insert;95937;true;5600;332
insert;91686;true;3700;277
insert;42831;true;1200;49
insert;36642;true;7300;46
insert;22438;true;11700;54
insert;13012;true;10800;328
insert;14147;true;66800;337
insert;57055;true;2500;127
insert;90424;true;3900;270
insert;48099;true;1400;67
insert;93837;true;4500;317
insert;52847;true;1400;78
insert;47009;true;1500;84
insert;65827;true;2000;178
insert;72009;true;3100;247
insert;81639;true;1500;170
insert;28068;true;1300;35
insert;55409;true;1800;125
insert;48083;true;1300;68
insert;14641;true;10900;342
insert;10839;true;8100;293
insert;46473;true;1200;85
insert;3785;true;11400;208
insert;81700;true;1600;175
insert;27074;true;11500;65
insert;99160;true;5300;392
insert;66697;true;1900;190
insert;4538;true;8400;221
insert;19164;true;14500;404
insert;70318;true;3100;237
insert;74994;true;4400;292
insert;21699;true;11600;429
insert;55229;true;2800;126
insert;74225;true;3300;279
insert;11696;true;9900;326
insert;58726;true;1700;70
insert;6586;true;22600;253
insert;22776;true;7800;43
insert;59918;true;1800;91
insert;30135;true;5300;43
insert;32872;true;1300;31
insert;32443;true;900;36
insert;5478;true;8900;244
insert;26986;true;18900;65
insert;13247;true;4500;345
insert;19211;true;5700;408
insert;40024;true;2000;70
insert;13837;true;4400;351
insert;62383;true;2000;116
insert;69217;true;2800;226
insert;99095;true;5700;391
insert;39371;true;1500;69
insert;92605;true;4500;312
insert;57551;true;2400;145
insert;43520;true;1400;60
insert;32472;true;1100;39
insert;91897;true;4100;301
insert;12774;true;4500;338
insert;22417;true;1000;30
insert;35480;true;20900;55
insert;21004;true;5800;429
insert;29859;true;10300;42
insert;15255;true;5500;370
insert;21201;true;6200;437
insert;99749;true;6100;412
insert;99688;true;6200;411
insert;60232;true;2100;99
insert;78676;true;6300;359
insert;99827;true;6200;418
insert;90152;true;1219900;283
insert;37955;true;69200;79
insert;21577;true;10000;446
insert;52587;true;2300;80
insert;37751;true;13300;63
insert;49635;true;3000;107
insert;59765;true;2200;94
insert;57051;true;3000;141
insert;36657;true;12800;63
insert;53365;true;1500;94
insert;11330;true;3700;323
insert;58293;true;1300;67
insert;17752;true;5100;412
insert;48838;true;1400;90
insert;30749;true;1300;36
insert;73351;true;8700;278
insert;21441;true;4600;451
insert;94785;true;4700;346
insert;11943;true;3500;344
insert;3336;true;1800;205
insert;65403;true;1700;177
insert;78878;true;5100;370
insert;41671;true;564500;74
insert;94763;true;6000;347
insert;55921;true;3000;139
insert;61701;true;2800;124
insert;9315;true;3900;298
insert;72426;true;5000;277
insert;26112;true;1300;29
insert;85059;true;2400;232
insert;43481;true;19300;80
insert;65932;true;2300;196
insert;39122;true;266500;56
insert;48918;true;3300;97
insert;83183;true;2400;209
insert;1513;true;1700;195
insert;6100;true;3000;260
insert;810;true;1300;183
insert;91818;true;36300;312
insert;16976;true;8700;416
insert;57202;true;3700;156
insert;6350;true;2900;267
insert;66839;true;3100;207
insert;80755;true;6700;395
insert;96186;true;5900;379
insert;54159;true;2400;121
insert;10581;true;4200;326
insert;76413;true;5000;339
insert;60594;true;2300;115
insert;86201;true;3200;248
insert;67805;true;2900;226
insert;88837;true;7900;281
insert;29129;true;39000;43
insert;69620;true;3400;249
insert;58381;true;1400;72
insert;84634;true;2700;238
insert;54178;true;2500;124
insert;1395;true;1800;203
insert;83222;true;2300;217
insert;30144;true;19200;50
insert;13576;true;22800;399
insert;97609;true;6500;413
insert;39275;true;8900;59
insert;78370;true;6400;381
insert;79717;true;5900;400
insert;21267;true;7500;486
insert;15219;true;5800;415
insert;99898;true;7000;458
insert;865;true;5400;198
insert;12782;true;5400;389
insert;14033;true;5900;410
insert;81758;true;2100;197
insert;96252;true;6100;398
insert;72430;true;4300;295
insert;61192;true;3100;126
insert;12125;true;5400;387
insert;78511;true;6400;392
insert;15504;true;6200;434
insert;86287;true;3400;263
insert;31546;true;1200;40
insert;71611;true;4100;277
insert;88860;true;3800;298
insert;85500;true;3100;261
insert;85922;true;3200;264
insert;14274;true;227100;419
insert;63123;true;4500;148
insert;1435;true;1800;222
insert;76523;true;5700;358
insert;51984;true;1300;80
insert;39507;true;1500;52
insert;94130;true;5000;383
insert;40430;true;1200;59
insert;95463;true;5900;406
insert;83668;true;2100;231
insert;72949;true;4200;309
insert;49252;true;2100;103
insert;79630;true;6200;416
insert;5720;true;3000;285
insert;59425;true;1800;96
insert;14123;true;5800;424
insert;87691;true;3100;294
insert;985;true;1400;217
insert;30782;true;27800;57
insert;87211;true;4000;289
insert;38529;true;1600;54
insert;21823;true;7700;536
insert;3105;true;2200;245
insert;90995;true;4400;344
insert;3831;true;2400;266
insert;6130;true;3200;305
insert;32894;true;7200;56
insert;62698;true;2600;149
insert;59680;true;1700;108
insert;34236;true;1100;25
insert;56399;true;2800;151
insert;98503;true;7000;467
insert;15923;true;6400;464
insert;16533;true;6600;475
insert;23185;true;1100;29
insert;3627;true;2500;262
insert;42907;true;2000;55
insert;58304;true;1400;77
insert;93528;true;5500;392
insert;61117;true;2500;138
insert;39600;true;1900;56
insert;94686;true;5800;407
insert;93264;true;5300;392
insert;27376;true;1300;35
insert;42757;true;1300;54
insert;49731;true;2300;120
insert;19331;true;7300;521
insert;943;true;1700;224
insert;73585;true;4400;317
insert;48502;true;1400;83
insert;34403;true;1100;32
insert;79603;true;6500;420
insert;92457;true;5300;381
insert;32789;true;8800;52
insert;82566;true;2000;224
insert;29623;true;1000;34
insert;30355;true;6900;42
insert;82828;true;2100;231
insert;4412;true;2800;281
insert;90534;true;4500;352
insert;92352;true;5200;387
insert;27969;true;1400;44
insert;64114;true;1700;183
insert;51231;true;1300;76
insert;44011;true;1900;75
insert;47514;true;1300;72
insert;87337;true;7800;306
insert;17815;true;7500;514
insert;62467;true;2600;157
insert;8152;true;4200;355
insert;99319;true;7600;511
insert;58595;true;1600;90
insert;46303;true;2000;98
insert;44231;true;1800;79
insert;93794;true;6500;420
insert;99435;true;7900;517
insert;69006;true;3300;256
insert;10781;true;4800;386
insert;97623;true;7100;486
insert;87452;true;3800;315
insert;45541;true;2000;92
insert;72576;true;4200;313
insert;79652;true;6600;434
insert;72654;true;5200;319
insert;23303;true;98000;48
insert;72948;true;6900;326
insert;67605;true;2600;239
insert;42215;true;1700;58
insert;19231;true;9100;537
insert;83870;true;2800;262
insert;75910;true;118900;374
insert;3230;true;2500;262
insert;21143;true;8300;561
insert;21164;true;8000;564
insert;74741;true;5000;357
insert;69785;true;16100;276
insert;43042;true;1800;67
insert;20367;true;7200;551
insert;7865;true;26000;362
insert;18302;true;6500;539
insert;78129;true;6000;429
insert;61385;true;2900;151
insert;34045;true;29900;44
insert;541;true;1500;218
insert;57631;true;50200;179
insert;23908;true;1700;34
insert;34125;true;9600;40
insert;5158;true;2700;317
insert;52155;true;1500;88
insert;68723;true;3000;268
insert;52295;true;1300;91
insert;33446;true;472600;34
insert;51608;true;2200;86
insert;98754;true;8500;515
insert;33595;true;8600;39
insert;83490;true;2600;256
insert;25094;true;1500;36
insert;53343;true;2100;115
insert;9215;true;5000;386
insert;3037;true;2300;271
insert;77138;true;6000;411
insert;22324;true;1000;34
insert;84367;true;2600;277
insert;67688;true;2500;248
insert;63757;true;1300;187
insert;24608;true;1200;34
insert;38381;true;1500;55
insert;90606;true;4900;376
insert;87009;true;3000;317
insert;91260;true;3800;388
insert;50628;true;2200;145
insert;84254;true;2400;279
insert;69184;true;3100;280
insert;68220;true;3000;271
insert;76233;true;5600;408
insert;27515;true;1800;41
insert;44581;true;2100;88
insert;49137;true;2200;110
insert;85658;true;3300;308
insert;27088;true;1400;46
insert;51862;true;1400;92
insert;14111;true;6200;480
insert;58872;true;1800;102
insert;27242;true;1200;38
insert;99694;true;8400;559
insert;88676;true;4200;360
insert;81962;true;1700;237
insert;22112;true;1100;31
insert;84915;true;3200;304
insert;32240;true;1200;33
insert;68099;true;3900;273
insert;79119;true;6400;472
insert;91394;true;5200;409
insert;16075;true;7500;515
insert;82157;true;1900;244
insert;36899;true;9400;55
insert;81061;true;1400;221
insert;76005;true;5500;407
insert;12776;true;5800;460
